Date,Price,Open,High,Low
"Sep 14, 2018",71.88,71.7,71.995,71.535
"Sep 17, 2018",72.54,72.53,72.695,72.315
"Sep 18, 2018",72.71,72.56,72.99,72.36
"Sep 19, 2018",72.36,72.72,72.875,72.345
"Sep 20, 2018",72.015,72.345,72.345,72.015
"Sep 21, 2018",72.24,71.86,72.48,71.76
"Sep 24, 2018",72.67,72.48,72.74,72.34
"Sep 25, 2018",72.685,72.905,72.96,72.575
"Sep 26, 2018",72.6,72.71,72.755,72.537
"Sep 27, 2018",72.57,72.43,72.77,72.39
"Sep 28, 2018",72.51,72.57,72.67,72.405
"Oct 01, 2018",72.925,72.605,72.945,72.605
"Oct 02, 2018",72.925,72.925,72.925,72.925
"Oct 03, 2018",73.345,73.265,73.43,72.92
"Oct 04, 2018",73.63,73.71,73.825,73.5
"Oct 05, 2018",73.77,73.62,74.25,73.425
"Oct 08, 2018",74.065,73.87,74.1,73.765
"Oct 09, 2018",74.34,73.91,74.405,73.88
"Oct 10, 2018",74.25,74.16,74.293,74.06
"Oct 11, 2018",74.05,74.38,74.49,74.005
"Oct 12, 2018",73.61,73.83,73.86,73.53
"Oct 15, 2018",73.77,73.803,74.07,73.77
"Oct 16, 2018",73.465,73.81,73.96,73.465
"Oct 17, 2018",73.6,73.42,73.67,73.373
"Oct 18, 2018",73.53,73.59,73.615,73.485
"Oct 19, 2018",73.375,73.605,73.655,73.295
"Oct 22, 2018",73.56,73.305,73.565,73.192
"Oct 23, 2018",73.55,73.71,73.833,73.51
"Oct 24, 2018",73.23,73.16,73.343,73.1
"Oct 25, 2018",73.23,73.35,73.38,73.165
"Oct 26, 2018",73.46,73.43,73.472,73.27
"Oct 29, 2018",73.4,73.355,73.525,73.322
"Oct 30, 2018",73.68,73.56,73.705,73.52
"Oct 31, 2018",73.96,73.92,74.14,73.8
"Nov 01, 2018",73.455,73.855,73.873,73.455
"Nov 02, 2018",72.44,73.125,73.215,72.43
"Nov 05, 2018",73.08,72.807,73.135,72.757
"Nov 06, 2018",72.955,72.945,73.075,72.905
"Nov 07, 2018",72.45,72.95,72.95,72.45
"Nov 08, 2018",72.38,72.46,72.46,72.38
"Nov 09, 2018",72.48,72.68,72.828,72.415
"Nov 12, 2018",72.86,72.735,73.067,72.735
"Nov 13, 2018",72.615,72.795,72.81,72.515
"Nov 14, 2018",72.31,72.175,72.405,72.005
"Nov 15, 2018",71.915,72.035,72.185,71.87
"Nov 16, 2018",71.98,71.995,71.995,71.715
"Nov 19, 2018",71.61,71.925,72.082,71.55
"Nov 20, 2018",71.43,71.37,71.523,71.287
"Nov 21, 2018",71.305,71.415,71.415,71.305
"Nov 22, 2018",70.69,71.135,71.195,70.675
"Nov 23, 2018",70.655,70.675,70.675,70.655
"Nov 26, 2018",70.82,70.495,70.905,70.31
"Nov 27, 2018",70.785,70.815,71.03,70.71
"Nov 28, 2018",70.64,70.9,70.9,70.58
"Nov 29, 2018",69.78,70.11,70.145,69.78
"Nov 30, 2018",69.65,69.695,69.915,69.57
"Dec 03, 2018",70.44,69.88,70.47,69.88
"Dec 04, 2018",70.53,70.5,70.69,70.33
"Dec 05, 2018",70.56,70.71,70.75,70.39
"Dec 06, 2018",70.85,70.81,71.15,70.745
"Dec 07, 2018",70.86,70.57,70.86,70.453
"Dec 10, 2018",72.52,71.36,72.637,71.24
"Dec 11, 2018",72.291,72.506,72.506,71.691
"Dec 12, 2018",71.84,72.283,72.283,71.769
"Dec 13, 2018",71.53,71.858,71.858,71.456
"Dec 14, 2018",71.92,71.55,72.043,71.55
"Dec 17, 2018",71.61,71.9,71.9,71.496
"Dec 18, 2018",70.62,71.34,71.361,70.421
"Dec 19, 2018",70.279,70.357,70.482,69.862
"Dec 20, 2018",69.98,70.697,70.716,69.655
"Dec 21, 2018",70.14,70.003,70.32,69.75
